Lower tier local authorities Code,Lower tier local authorities,Tenure of household (9 categories) Code,Tenure of household (9 categories),Observation
E09000001,City of London,-8,Does not apply,0
E09000001,City of London,0,Owned: Owns outright,1114
E09000001,City of London,1,Owned: Owns with a mortgage or loan,680
E09000001,City of London,2,Shared ownership: Shared ownership,12
E09000001,City of London,3,Social rented: Rents from council or Local Authority,449
E09000001,City of London,4,Social rented: Other social rented,281
E09000001,City of London,5,Private rented: Private landlord or letting agency,2064
E09000001,City of London,6,Private rented: Other private rented,309
E09000001,City of London,7,Lives rent free,5
E09000002,Barking and Dagenham,-8,Does not apply,0
E09000002,Barking and Dagenham,0,Owned: Owns outright,11130
E09000002,Barking and Dagenham,1,Owned: Owns with a mortgage or loan,20189
E09000002,Barking and Dagenham,2,Shared ownership: Shared ownership,1274
E09000002,Barking and Dagenham,3,Social rented: Rents from council or Local Authority,18077
E09000002,Barking and Dagenham,4,Social rented: Other social rented,5196
E09000002,Barking and Dagenham,5,Private rented: Private landlord or letting agency,16443
E09000002,Barking and Dagenham,6,Private rented: Other private rented,1447
E09000002,Barking and Dagenham,7,Lives rent free,146
E09000003,Barnet,-8,Does not apply,0
E09000003,Barnet,0,Owned: Owns outright,39083
E09000003,Barnet,1,Owned: Owns with a mortgage or loan,39324
E09000003,Barnet,2,Shared ownership: Shared ownership,1633
E09000003,Barnet,3,Social rented: Rents from council or Local Authority,10030
E09000003,Barnet,4,Social rented: Other social rented,10004
E09000003,Barnet,5,Private rented: Private landlord or letting agency,45180
E09000003,Barnet,6,Private rented: Other private rented,3525
E09000003,Barnet,7,Lives rent free,138
E09000004,Bexley,-8,Does not apply,0
E09000004,Bexley,0,Owned: Owns outright,31210
E09000004,Bexley,1,Owned: Owns with a mortgage or loan,34207
E09000004,Bexley,2,Shared ownership: Shared ownership,1263
E09000004,Bexley,3,Social rented: Rents from council or Local Authority,2491
E09000004,Bexley,4,Social rented: Other social rented,11486
E09000004,Bexley,5,Private rented: Private landlord or letting agency,13078
E09000004,Bexley,6,Private rented: Other private rented,1500
E09000004,Bexley,7,Lives rent free,65
E09000005,Brent,-8,Does not apply,0
E09000005,Brent,0,Owned: Owns outright,23933
E09000005,Brent,1,Owned: Owns with a mortgage or loan,21660
E09000005,Brent,2,Shared ownership: Shared ownership,2246
E09000005,Brent,3,Social rented: Rents from council or Local Authority,10444
E09000005,Brent,4,Social rented: Other social rented,17432
E09000005,Brent,5,Private rented: Private landlord or letting agency,39732
E09000005,Brent,6,Private rented: Other private rented,2994
E09000005,Brent,7,Lives rent free,171
E09000006,Bromley,-8,Does not apply,0
E09000006,Bromley,0,Owned: Owns outright,44794
E09000006,Bromley,1,Owned: Owns with a mortgage or loan,48234
