areaCode,areaName,tenureCode,tenureType,value
E09000001,City of London,0,Owned: Owns outright,1093
E09000001,City of London,1,Owned: Owns with a mortgage or loan,762
E09000001,City of London,2,Shared ownership: Shared ownership,13
E09000001,City of London,3,Social rented: Rents from council or Local Authority,458
E09000001,City of London,4,Social rented: Other social rented,267
E09000001,City of London,5,Private rented: Private landlord or letting agency,1451
E09000001,City of London,6,Private rented: Other private rented,122
E09000001,City of London,7,Lives rent free,219
E09000002,Barking and Dagenham,0,Owned: Owns outright,11908
E09000002,Barking and Dagenham,1,Owned: Owns with a mortgage or loan,20416
E09000002,Barking and Dagenham,2,Shared ownership: Shared ownership,906
E09000002,Barking and Dagenham,3,Social rented: Rents from council or Local Authority,19782
E09000002,Barking and Dagenham,4,Social rented: Other social rented,3677
E09000002,Barking and Dagenham,5,Private rented: Private landlord or letting agency,11559
E09000002,Barking and Dagenham,6,Private rented: Other private rented,769
E09000002,Barking and Dagenham,7,Lives rent free,664
E09000003,Barnet,0,Owned: Owns outright,38105
E09000003,Barnet,1,Owned: Owns with a mortgage or loan,40245
E09000003,Barnet,2,Shared ownership: Shared ownership,1191
E09000003,Barnet,3,Social rented: Rents from council or Local Authority,11664
E09000003,Barnet,4,Social rented: Other social rented,7670
E09000003,Barnet,5,Private rented: Private landlord or letting agency,33175
E09000003,Barnet,6,Private rented: Other private rented,1679
E09000003,Barnet,7,Lives rent free,2187
E09000004,Bexley,0,Owned: Owns outright,30127
E09000004,Bexley,1,Owned: Owns with a mortgage or loan,37027
E09000004,Bexley,2,Shared ownership: Shared ownership,754
E09000004,Bexley,3,Social rented: Rents from council or Local Authority,1693
E09000004,Bexley,4,Social rented: Other social rented,11684
E09000004,Bexley,5,Private rented: Private landlord or letting agency,9721
E09000004,Bexley,6,Private rented: Other private rented,835
E09000004,Bexley,7,Lives rent free,763
E09000005,Brent,0,Owned: Owns outright,22416
E09000005,Brent,1,Owned: Owns with a mortgage or loan,24908
E09000005,Brent,2,Shared ownership: Shared ownership,1636
E09000005,Brent,3,Social rented: Rents from council or Local Authority,10686
E09000005,Brent,4,Social rented: Other social rented,15905
E09000005,Brent,5,Private rented: Private landlord or letting agency,31784
E09000005,Brent,6,Private rented: Other private rented,1397
E09000005,Brent,7,Lives rent free,1554
E09000006,Bromley,0,Owned: Owns outright,43649
E09000006,Bromley,1,Owned: Owns with a mortgage or loan,49136
E09000006,Bromley,2,Shared ownership: Shared ownership,1036
E09000006,Bromley,3,Social rented: Rents from council or Local Authority,1987
E09000006,Bromley,4,Social rented: Other social rented,16438
