"areaCode,areaName,tenureType,value2011"
"E09000001,City of London,Owned,1855"
"E09000001,City of London,Shared ownership,13"
"E09000001,City of London,Social rented,725"
"E09000001,City of London,Private rented,1573"
"E09000001,City of London,Lives rent free,219"
"E09000002,Barking and Dagenham,Owned,32324"
"E09000002,Barking and Dagenham,Shared ownership,906"
"E09000002,Barking and Dagenham,Social rented,23459"
"E09000002,Barking and Dagenham,Private rented,12328"
"E09000002,Barking and Dagenham,Lives rent free,664"
"E09000003,Barnet,Owned,78350"
"E09000003,Barnet,Shared ownership,1191"
"E09000003,Barnet,Social rented,19334"
"E09000003,Barnet,Private rented,34854"
"E09000003,Barnet,Lives rent free,2187"
"E09000004,Bexley,Owned,67154"
"E09000004,Bexley,Shared ownership,754"
"E09000004,Bexley,Social rented,13377"
"E09000004,Bexley,Private rented,10556"
"E09000004,Bexley,Lives rent free,763"
"E09000005,Brent,Owned,47324"
"E09000005,Brent,Shared ownership,1636"
"E09000005,Brent,Social rented,26591"
"E09000005,Brent,Private rented,33181"
"E09000005,Brent,Lives rent free,1554"
"E09000006,Bromley,Owned,92785"
"E09000006,Bromley,Shared ownership,1036"
"E09000006,Bromley,Social rented,18425"
"E09000006,Bromley,Private rented,17393"
"E09000006,Bromley,Lives rent free,1223"
"E09000007,Camden,Owned,31368"
"E09000007,Camden,Shared ownership,674"
"E09000007,Camden,Social rented,32295"
"E09000007,Camden,Private rented,31434"
"E09000007,Camden,Lives rent free,1763"
"E09000008,Croydon,Owned,85230"
"E09000008,Croydon,Shared ownership,1855"
"E09000008,Croydon,Social rented,25887"
"E09000008,Croydon,Private rented,30472"
"E09000008,Croydon,Lives rent free,1566"
"E09000009,Ealing,Owned,63420"
"E09000009,Ealing,Shared ownership,2174"
"E09000009,Ealing,Social rented,22472"
"E09000009,Ealing,Private rented,34182"
"E09000009,Ealing,Lives rent free,1834"
"E09000010,Enfield,Owned,69462"
"E09000010,Enfield,Shared ownership,1087"
"E09000010,Enfield,Social rented,21073"
