areaCode,areaName,tenureCode,tenureType,value2011,value2021
E09000001,City of London,0,Owned: Owns outright,1093,1114
E09000001,City of London,1,Owned: Owns with a mortgage or loan,762,680
E09000001,City of London,2,Shared ownership: Shared ownership,13,12
E09000001,City of London,3,Social rented: Rents from council or Local Authority,458,449
E09000001,City of London,4,Social rented: Other social rented,267,281
E09000001,City of London,5,Private rented: Private landlord or letting agency,1451,2064
E09000001,City of London,6,Private rented: Other private rented,122,309
E09000001,City of London,7,Lives rent free,219,5
E09000002,Barking and Dagenham,0,Owned: Owns outright,11908,11130
E09000002,Barking and Dagenham,1,Owned: Owns with a mortgage or loan,20416,20189
E09000002,Barking and Dagenham,2,Shared ownership: Shared ownership,906,1274
E09000002,Barking and Dagenham,3,Social rented: Rents from council or Local Authority,19782,18077
E09000002,Barking and Dagenham,4,Social rented: Other social rented,3677,5196
E09000002,Barking and Dagenham,5,Private rented: Private landlord or letting agency,11559,16443
E09000002,Barking and Dagenham,6,Private rented: Other private rented,769,1447
E09000002,Barking and Dagenham,7,Lives rent free,664,146
E09000003,Barnet,0,Owned: Owns outright,38105,39083
E09000003,Barnet,1,Owned: Owns with a mortgage or loan,40245,39324
E09000003,Barnet,2,Shared ownership: Shared ownership,1191,1633
E09000003,Barnet,3,Social rented: Rents from council or Local Authority,11664,10030
E09000003,Barnet,4,Social rented: Other social rented,7670,10004
E09000003,Barnet,5,Private rented: Private landlord or letting agency,33175,45180
E09000003,Barnet,6,Private rented: Other private rented,1679,3525
E09000003,Barnet,7,Lives rent free,2187,138
E09000004,Bexley,0,Owned: Owns outright,30127,31210
E09000004,Bexley,1,Owned: Owns with a mortgage or loan,37027,34207
E09000004,Bexley,2,Shared ownership: Shared ownership,754,1263
E09000004,Bexley,3,Social rented: Rents from council or Local Authority,1693,2491
E09000004,Bexley,4,Social rented: Other social rented,11684,11486
E09000004,Bexley,5,Private rented: Private landlord or letting agency,9721,13078
E09000004,Bexley,6,Private rented: Other private rented,835,1500
E09000004,Bexley,7,Lives rent free,763,65
E09000005,Brent,0,Owned: Owns outright,22416,23933
E09000005,Brent,1,Owned: Owns with a mortgage or loan,24908,21660
E09000005,Brent,2,Shared ownership: Shared ownership,1636,2246
E09000005,Brent,3,Social rented: Rents from council or Local Authority,10686,10444
E09000005,Brent,4,Social rented: Other social rented,15905,17432
E09000005,Brent,5,Private rented: Private landlord or letting agency,31784,39732
E09000005,Brent,6,Private rented: Other private rented,1397,2994
E09000005,Brent,7,Lives rent free,1554,171
E09000006,Bromley,0,Owned: Owns outright,43649,44794
E09000006,Bromley,1,Owned: Owns with a mortgage or loan,49136,48234
E09000006,Bromley,2,Shared ownership: Shared ownership,1036,1166
E09000006,Bromley,3,Social rented: Rents from council or Local Authority,1987,2090
E09000006,Bromley,4,Social rented: Other social rented,16438,15836
E09000006,Bromley,5,Private rented: Private landlord or letting agency,16229,21418
