areaCode,areaName,tenureType,value2011,value2021
E09000001,City of London,Owned,1855,1794
E09000001,City of London,Shared ownership,13,12
E09000001,City of London,Social rented,725,1239
E09000001,City of London,Private rented,1573,2373
E09000001,City of London,Lives rent free,219,5
E09000002,Barking and Dagenham,Owned,32324,31319
E09000002,Barking and Dagenham,Shared ownership,906,23273
E09000002,Barking and Dagenham,Social rented,23459,17990
E09000002,Barking and Dagenham,Private rented,12328,1274
E09000002,Barking and Dagenham,Lives rent free,664,146
E09000003,Barnet,Owned,78350,78307
E09000003,Barnet,Shared ownership,1191,20034
E09000003,Barnet,Social rented,19334,48705
E09000003,Barnet,Private rented,34854,1633
E09000003,Barnet,Lives rent free,2187,138
E09000004,Bexley,Owned,67154,65417
E09000004,Bexley,Shared ownership,754,13977
E09000004,Bexley,Social rented,13377,14578
E09000004,Bexley,Private rented,10556,1263
E09000004,Bexley,Lives rent free,763,65
E09000005,Brent,Owned,47324,45639
E09000005,Brent,Shared ownership,1636,27876
E09000005,Brent,Social rented,26591,42726
E09000005,Brent,Private rented,33181,2246
E09000005,Brent,Lives rent free,1554,171
E09000006,Bromley,Owned,92785,93028
E09000006,Bromley,Shared ownership,1036,17926
E09000006,Bromley,Social rented,18425,23661
E09000006,Bromley,Private rented,17393,1166
E09000006,Bromley,Lives rent free,1223,47
E09000007,Camden,Owned,31368,27507
E09000007,Camden,Shared ownership,674,31250
E09000007,Camden,Social rented,32295,33012
E09000007,Camden,Private rented,31434,715
E09000007,Camden,Lives rent free,1763,274
E09000008,Croydon,Owned,85230,83667
E09000008,Croydon,Shared ownership,1855,27423
E09000008,Croydon,Social rented,25887,39441
E09000008,Croydon,Private rented,30472,2183
E09000008,Croydon,Lives rent free,1566,283
E09000009,Ealing,Owned,63420,61814
E09000009,Ealing,Shared ownership,2174,23382
E09000009,Ealing,Social rented,22472,45590
E09000009,Ealing,Private rented,34182,2658
E09000009,Ealing,Lives rent free,1834,313
E09000010,Enfield,Owned,69462,63347
E09000010,Enfield,Shared ownership,1087,20573
E09000010,Enfield,Social rented,21073,35388
E09000010,Enfield,Private rented,26591,1319
E09000010,Enfield,Lives rent free,1703,296
E09000011,Greenwich,Owned,43719,46827
E09000011,Greenwich,Shared ownership,1580,35327
E09000011,Greenwich,Social rented,34662,29108
E09000011,Greenwich,Private rented,20004,2471
E09000011,Greenwich,Lives rent free,1080,238
E09000012,Hackney,Owned,24179,26066
E09000012,Hackney,Shared ownership,2374,42945
E09000012,Hackney,Social rented,44430,34147
E09000012,Hackney,Private rented,29449,2664
E09000012,Hackney,Lives rent free,1258,259
E09000013,Hammersmith and Fulham,Owned,27397,26058
E09000013,Hammersmith and Fulham,Shared ownership,1257,24231
E09000013,Hammersmith and Fulham,Social rented,25133,29558
E09000013,Hammersmith and Fulham,Private rented,25555,1208
E09000013,Hammersmith and Fulham,Lives rent free,1248,157
