"areaCode,areaName,tenureType,value"
"E09000001,City of London,Owned,1794"
"E09000001,City of London,Shared ownership,12"
"E09000001,City of London,Social rented,1239"
"E09000001,City of London,Private rented,2373"
"E09000001,City of London,Lives rent free,5"
"E09000002,Barking and Dagenham,Owned,31319"
"E09000002,Barking and Dagenham,Shared ownership,23273"
"E09000002,Barking and Dagenham,Social rented,17990"
"E09000002,Barking and Dagenham,Private rented,1274"
"E09000002,Barking and Dagenham,Lives rent free,146"
"E09000003,Barnet,Owned,78307"
"E09000003,Barnet,Shared ownership,20034"
"E09000003,Barnet,Social rented,48705"
"E09000003,Barnet,Private rented,1633"
"E09000003,Barnet,Lives rent free,138"
"E09000004,Bexley,Owned,65417"
"E09000004,Bexley,Shared ownership,13977"
"E09000004,Bexley,Social rented,14578"
"E09000004,Bexley,Private rented,1263"
"E09000004,Bexley,Lives rent free,65"
"E09000005,Brent,Owned,45639"
"E09000005,Brent,Shared ownership,27876"
"E09000005,Brent,Social rented,42726"
"E09000005,Brent,Private rented,2246"
"E09000005,Brent,Lives rent free,171"
"E09000006,Bromley,Owned,93028"
"E09000006,Bromley,Shared ownership,17926"
"E09000006,Bromley,Social rented,23661"
"E09000006,Bromley,Private rented,1166"
"E09000006,Bromley,Lives rent free,47"
"E09000007,Camden,Owned,27507"
"E09000007,Camden,Shared ownership,31250"
"E09000007,Camden,Social rented,33012"
"E09000007,Camden,Private rented,715"
"E09000007,Camden,Lives rent free,274"
"E09000008,Croydon,Owned,83667"
"E09000008,Croydon,Shared ownership,27423"
"E09000008,Croydon,Social rented,39441"
"E09000008,Croydon,Private rented,2183"
"E09000008,Croydon,Lives rent free,283"
"E09000009,Ealing,Owned,61814"
"E09000009,Ealing,Shared ownership,23382"
"E09000009,Ealing,Social rented,45590"
"E09000009,Ealing,Private rented,2658"
"E09000009,Ealing,Lives rent free,313"
"E09000010,Enfield,Owned,63347"
"E09000010,Enfield,Shared ownership,20573"
"E09000010,Enfield,Social rented,35388"
"E09000010,Enfield,Private rented,1319"
"E09000010,Enfield,Lives rent free,296"
"E09000011,Greenwich,Owned,46827"
"E09000011,Greenwich,Shared ownership,35327"
"E09000011,Greenwich,Social rented,29108"
"E09000011,Greenwich,Private rented,2471"
"E09000011,Greenwich,Lives rent free,238"
"E09000012,Hackney,Owned,26066"
"E09000012,Hackney,Shared ownership,42945"
"E09000012,Hackney,Social rented,34147"
"E09000012,Hackney,Private rented,2664"
"E09000012,Hackney,Lives rent free,259"
"E09000013,Hammersmith and Fulham,Owned,26058"
"E09000013,Hammersmith and Fulham,Shared ownership,24231"
"E09000013,Hammersmith and Fulham,Social rented,29558"
"E09000013,Hammersmith and Fulham,Private rented,1208"
"E09000013,Hammersmith and Fulham,Lives rent free,157"
"E09000014,Haringey,Owned,39116"
"E09000014,Haringey,Shared ownership,26474"
"E09000014,Haringey,Social rented,37376"
"E09000014,Haringey,Private rented,1732"
"E09000014,Haringey,Lives rent free,393"
"E09000015,Harrow,Owned,52690"
"E09000015,Harrow,Shared ownership,9298"
"E09000015,Harrow,Social rented,26495"
"E09000015,Harrow,Private rented,1007"
"E09000015,Harrow,Lives rent free,152"
"E09000016,Havering,Owned,70379"
"E09000016,Havering,Shared ownership,13807"
"E09000016,Havering,Social rented,16019"
"E09000016,Havering,Private rented,976"
"E09000016,Havering,Lives rent free,95"
"E09000017,Hillingdon,Owned,61831"
"E09000017,Hillingdon,Shared ownership,17613"
"E09000017,Hillingdon,Social rented,28276"
"E09000017,Hillingdon,Private rented,1373"
"E09000017,Hillingdon,Lives rent free,135"
"E09000018,Hounslow,Owned,47044"
"E09000018,Hounslow,Shared ownership,21618"
"E09000018,Hounslow,Social rented,31788"
"E09000018,Hounslow,Private rented,2225"
"E09000018,Hounslow,Lives rent free,286"
"E09000019,Islington,Owned,25740"
"E09000019,Islington,Shared ownership,38787"
"E09000019,Islington,Social rented,30079"
"E09000019,Islington,Private rented,1580"
"E09000019,Islington,Lives rent free,310"
"E09000020,Kensington and Chelsea,Owned,21191"
"E09000020,Kensington and Chelsea,Shared ownership,18430"
"E09000020,Kensington and Chelsea,Social rented,26460"
"E09000020,Kensington and Chelsea,Private rented,676"
"E09000020,Kensington and Chelsea,Lives rent free,167"
"E09000021,Kingston upon Thames,Owned,35751"
"E09000021,Kingston upon Thames,Shared ownership,8390"
"E09000021,Kingston upon Thames,Social rented,12342"
"E09000021,Kingston upon Thames,Private rented,481"
"E09000021,Kingston upon Thames,Lives rent free,85"
"E09000022,Lambeth,Owned,46047"
"E09000022,Lambeth,Shared ownership,45566"
"E09000022,Lambeth,Social rented,32817"
"E09000022,Lambeth,Private rented,2715"
"E09000022,Lambeth,Lives rent free,221"
"E09000023,Lewisham,Owned,48143"
"E09000023,Lewisham,Shared ownership,34842"
"E09000023,Lewisham,Social rented,2823"
"E09000023,Lewisham,Private rented,2573"
"E09000023,Lewisham,Lives rent free,267"
"E09000024,Merton,Owned,41629"
"E09000024,Merton,Shared ownership,14177"
"E09000024,Merton,Social rented,18629"
"E09000024,Merton,Private rented,1194"
"E09000024,Merton,Lives rent free,117"
"E09000025,Newham,Owned,46834"
"E09000025,Newham,Shared ownership,40034"
"E09000025,Newham,Social rented,30461"
"E09000025,Newham,Private rented,1261"
"E09000025,Newham,Lives rent free,130"
"E09000026,Redbridge,Owned,62892"
"E09000026,Redbridge,Shared ownership,19805"
"E09000026,Redbridge,Social rented,27785"
"E09000026,Redbridge,Private rented,1389"
"E09000026,Redbridge,Lives rent free,180"
"E09000027,Richmond upon Thames,Owned,43783"
"E09000027,Richmond upon Thames,Shared ownership,7941"
"E09000027,Richmond upon Thames,Social rented,14332"
"E09000027,Richmond upon Thames,Private rented,763"
"E09000027,Richmond upon Thames,Lives rent free,123"
"E09000028,Southwark,Owned,45608"
"E09000028,Southwark,Shared ownership,44250"
"E09000028,Southwark,Social rented,31938"
"E09000028,Southwark,Private rented,3074"
"E09000028,Southwark,Lives rent free,214"
"E09000029,Sutton,Owned,49405"
"E09000029,Sutton,Shared ownership,11797"
"E09000029,Sutton,Social rented,15317"
"E09000029,Sutton,Private rented,874"
"E09000029,Sutton,Lives rent free,94"
"E09000030,Tower Hamlets,Owned,33616"
"E09000030,Tower Hamlets,Shared ownership,49100"
"E09000030,Tower Hamlets,Social rented,30563"
"E09000030,Tower Hamlets,Private rented,1683"
"E09000030,Tower Hamlets,Lives rent free,209"
"E09000031,Waltham Forest,Owned,52092"
"E09000031,Waltham Forest,Shared ownership,29557"
"E09000031,Waltham Forest,Social rented,24664"
"E09000031,Waltham Forest,Private rented,1781"
"E09000031,Waltham Forest,Lives rent free,174"
"E09000032,Wandsworth,Owned,54239"
"E09000032,Wandsworth,Shared ownership,30692"
"E09000032,Wandsworth,Social rented,49830"
"E09000032,Wandsworth,Private rented,2509"
"E09000032,Wandsworth,Lives rent free,184"
"E09000033,Westminster,Owned,25962"
"E09000033,Westminster,Shared ownership,26810"
"E09000033,Westminster,Social rented,41065"
"E09000033,Westminster,Private rented,695"
"E09000033,Westminster,Lives rent free,284"
